England and Wales Code,England and Wales,Ethnic group (6 categories) Code,Ethnic group (6 categories),Sex (2 categories) Code,Sex (2 categories),Age (23 categories) Code,Age (23 categories),Observation
K04000001,England and Wales,-8,Does not apply,1,Female,1,Aged 2 years and under,0
K04000001,England and Wales,-8,Does not apply,1,Female,2,Aged 3 to 4 years,0
K04000001,England and Wales,-8,Does not apply,1,Female,3,Aged 5 to 7 years,0
K04000001,England and Wales,-8,Does not apply,1,Female,4,Aged 8 to 9 years,0
K04000001,England and Wales,-8,Does not apply,1,Female,5,Aged 10 to 14 years,0
K04000001,England and Wales,-8,Does not apply,1,Female,6,Aged 15 years,0
K04000001,England and Wales,-8,Does not apply,1,Female,7,Aged 16 to 17 years,0
K04000001,England and Wales,-8,Does not apply,1,Female,8,Aged 18 to 19 years,0
K04000001,England and Wales,-8,Does not apply,1,Female,9,Aged 20 to 24 years,0
K04000001,England and Wales,-8,Does not apply,1,Female,10,Aged 25 to 29 years,0
K04000001,England and Wales,-8,Does not apply,1,Female,11,Aged 30 to 34 years,0
K04000001,England and Wales,-8,Does not apply,1,Female,12,Aged 35 to 39 years,0
K04000001,England and Wales,-8,Does not apply,1,Female,13,Aged 40 to 44 years,0
K04000001,England and Wales,-8,Does not apply,1,Female,14,Aged 45 to 49 years,0
K04000001,England and Wales,-8,Does not apply,1,Female,15,Aged 50 to 54 years,0
K04000001,England and Wales,-8,Does not apply,1,Female,16,Aged 55 to 59 years,0
K04000001,England and Wales,-8,Does not apply,1,Female,17,Aged 60 to 64 years,0
K04000001,England and Wales,-8,Does not apply,1,Female,18,Aged 65 years,0
K04000001,England and Wales,-8,Does not apply,1,Female,19,Aged 66 to 69 years,0
K04000001,England and Wales,-8,Does not apply,1,Female,20,Aged 70 to 74 years,0
K04000001,England and Wales,-8,Does not apply,1,Female,21,Aged 75 to 79 years,0
K04000001,England and Wales,-8,Does not apply,1,Female,22,Aged 80 to 84 years,0
K04000001,England and Wales,-8,Does not apply,1,Female,23,Aged 85 years and over,0
K04000001,England and Wales,-8,Does not apply,2,Male,1,Aged 2 years and under,0
K04000001,England and Wales,-8,Does not apply,2,Male,2,Aged 3 to 4 years,0
K04000001,England and Wales,-8,Does not apply,2,Male,3,Aged 5 to 7 years,0
K04000001,England and Wales,-8,Does not apply,2,Male,4,Aged 8 to 9 years,0
K04000001,England and Wales,-8,Does not apply,2,Male,5,Aged 10 to 14 years,0
K04000001,England and Wales,-8,Does not apply,2,Male,6,Aged 15 years,0
K04000001,England and Wales,-8,Does not apply,2,Male,7,Aged 16 to 17 years,0
K04000001,England and Wales,-8,Does not apply,2,Male,8,Aged 18 to 19 years,0
K04000001,England and Wales,-8,Does not apply,2,Male,9,Aged 20 to 24 years,0
K04000001,England and Wales,-8,Does not apply,2,Male,10,Aged 25 to 29 years,0
K04000001,England and Wales,-8,Does not apply,2,Male,11,Aged 30 to 34 years,0
K04000001,England and Wales,-8,Does not apply,2,Male,12,Aged 35 to 39 years,0
K04000001,England and Wales,-8,Does not apply,2,Male,13,Aged 40 to 44 years,0
K04000001,England and Wales,-8,Does not apply,2,Male,14,Aged 45 to 49 years,0
K04000001,England and Wales,-8,Does not apply,2,Male,15,Aged 50 to 54 years,0
K04000001,England and Wales,-8,Does not apply,2,Male,16,Aged 55 to 59 years,0
K04000001,England and Wales,-8,Does not apply,2,Male,17,Aged 60 to 64 years,0
K04000001,England and Wales,-8,Does not apply,2,Male,18,Aged 65 years,0
K04000001,England and Wales,-8,Does not apply,2,Male,19,Aged 66 to 69 years,0
K04000001,England and Wales,-8,Does not apply,2,Male,20,Aged 70 to 74 years,0
K04000001,England and Wales,-8,Does not apply,2,Male,21,Aged 75 to 79 years,0
K04000001,England and Wales,-8,Does not apply,2,Male,22,Aged 80 to 84 years,0
K04000001,England and Wales,-8,Does not apply,2,Male,23,Aged 85 years and over,0
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",1,Female,1,Aged 2 years and under,110459
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",1,Female,2,Aged 3 to 4 years,78764
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",1,Female,3,Aged 5 to 7 years,122309
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",1,Female,4,Aged 8 to 9 years,85063
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",1,Female,5,Aged 10 to 14 years,207225
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",1,Female,6,Aged 15 years,38469
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",1,Female,7,Aged 16 to 17 years,77728
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",1,Female,8,Aged 18 to 19 years,79372
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",1,Female,9,Aged 20 to 24 years,207994
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",1,Female,10,Aged 25 to 29 years,216758
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",1,Female,11,Aged 30 to 34 years,261744
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",1,Female,12,Aged 35 to 39 years,275037
